,FeatureRatio,TopTFs,AbsCor,Nodes,Interactions,PosInt,Connected,Transitivity,MeanDistance,DupStatus,SimIdx,ClusterA,ClusterB,Accuracy,Accuracy_sd,KLdist,ClusterA2,ClusterB2,AvgDist,flexibility,maxSigval.Netact,maxSigval.MARINa,minSigval.RI
0.09-44-0.75,0.09,44,0.75, 77,301,173,1,0.193,14.37,FALSE,0.09-44-0.75,0.2147,0.7111,0.924,0.00237,0.201,-0.191, 3.60e-01,0.00664,0.0200,0.1000,0.05730,0.000284
0.08-28-0.8,0.08,28,0.80, 40,134, 74,1,0.273,14.59,FALSE,0.08-28-0.8,0.2348,0.6653,0.895,0.00570,0.178,-0.188, 2.93e-01,0.00791,0.0250,0.0384,0.01503,0.000529
0.07-48-0.75,0.07,48,0.75, 81,277,160,1,0.188,16.65,FALSE,0.07-48-0.75,0.1910,0.7436,0.932,0.00238,0.238,-0.193, 4.10e-01,0.00662,0.0185,0.1118,0.03993,0.000285
0.07-52-0,0.07,52,0.00,100,378,226,1,0.173,22.51,FALSE,0.07-52-0,0.1821,0.7562,0.931,0.00324,0.253,-0.192, 4.29e-01,0.00621,0.0183,0.1257,0.05730,0.000275
0.08-44-0.6,0.08,44,0.60, 85,287,167,1,0.182,20.31,FALSE,0.08-44-0.6,0.1913,0.7463,0.938,0.00222,0.238,-0.193, 4.14e-01,0.00655,0.0184,0.1008,0.03993,0.000285
0.12-36-0.7,0.12,36,0.70, 63,205,117,1,0.193,17.74,FALSE,0.12-36-0.7,0.2068,0.6968,0.906,0.00409,0.214,-0.192, 3.39e-01,0.00790,0.0243,0.0676,0.02860,0.000316
0.12-44-0.4,0.12,44,0.40, 89,328,194,1,0.168,18.10,FALSE,0.12-44-0.4,0.2083,0.7190,0.924,0.00307,0.211,-0.192, 3.72e-01,0.00684,0.0195,0.1008,0.08431,0.000229
0.14-32-0.7,0.14,32,0.70, 61,190,109,1,0.197,17.74,FALSE,0.14-32-0.7,0.2236,0.6776,0.896,0.00587,0.192,-0.190, 3.10e-01,0.00831,0.0244,0.0539,0.02860,0.000346
0.08-52-0.85,0.08,52,0.85, 48,213,121,1,0.270,10.05,FALSE,0.08-52-0.85,0.2116,0.7018,0.914,0.00349,0.206,-0.192, 3.46e-01,0.00785,0.0216,0.1256,0.08857,0.000316
0.1-32-0.65,0.10,32,0.65, 60,183,103,1,0.205,21.58,FALSE,0.1-32-0.65,0.2331,0.6904,0.921,0.00354,0.177,-0.189, 3.29e-01,0.00787,0.0202,0.0539,0.02509,0.000368
0.08-36-0.85,0.08,36,0.85, 38,136, 76,1,0.268,10.03,FALSE,0.08-36-0.85,0.2113,0.6751,0.893,0.00674,0.214,-0.192, 3.07e-01,0.00887,0.0302,0.0676,0.02645,0.000362
0.06-36-0.75,0.06,36,0.75, 59,193,106,1,0.209,16.77,FALSE,0.06-36-0.75,0.2171,0.6951,0.920,0.00452,0.199,-0.191, 3.36e-01,0.00751,0.0215,0.0676,0.02324,0.000412
0.12-44-0.65,0.12,44,0.65, 88,326,193,1,0.170,17.27,FALSE,0.12-44-0.65,0.1948,0.7190,0.910,0.00309,0.230,-0.193, 3.72e-01,0.00699,0.0212,0.1008,0.08431,0.000229
0.05-48-0,0.05,48,0.00, 88,286,172,1,0.164,26.12,FALSE,0.05-48-0,0.2074,0.7243,0.931,0.00304,0.213,-0.192, 3.80e-01,0.00683,0.0184,0.1118,0.02860,0.000368
